constructorStandingsId,raceId,constructorId,points,position,positionText,wins
27053,999,6,302,2,2,4
27054,999,131,310,1,1,4
27055,999,9,211,3,3,3
27056,999,1,48,7,7,0
27057,999,4,80,4,4,0
27058,999,10,59,5,5,0
27059,999,15,18,9,9,0
27060,999,3,4,10,10,0
27061,999,5,20,8,8,0
27062,999,210,59,6,6,0
27063,1000,6,335,2,2,4
27064,1000,131,345,1,1,5
27065,1000,9,223,3,3,3
27066,1000,1,52,7,7,0
27067,1000,4,82,4,4,0
27068,1000,10,59,6,6,0
27069,1000,15,18,9,9,0
27070,1000,3,4,10,10,0
27071,1000,5,28,8,8,0
27072,1000,210,66,5,5,0
27073,1001,6,360,2,2,5
27074,1001,131,375,1,1,5
27075,1001,9,238,3,3,3
27076,1001,1,52,6,6,0
27077,1001,4,82,4,4,0
27078,1001,10,18,9,9,0
27079,1001,15,19,8,8,0
27080,1001,3,4,10,10,0
27081,1001,5,30,7,7,0
27082,1001,210,76,5,5,0
27101,1002,5,30,8,8,0
27100,1002,3,7,10,10,0
27098,1002,10,32,7,7,0
27096,1002,1,52,6,6,0
27094,1002,131,415,1,1,6
27102,1002,210,76,5,5,0
27099,1002,15,19,9,9,0
27093,1002,6,390,2,2,5
27095,1002,9,248,3,3,3
27097,1002,4,86,4,4,0
27103,1003,6,415,2,2,5
27104,1003,131,452,1,1,7
27105,1003,9,274,3,3,3
27106,1003,1,58,6,6,0
27107,1003,4,91,4,4,0
27108,1003,10,32,7,7,0
27109,1003,15,21,9,9,0
27110,1003,3,7,10,10,0
27111,1003,5,30,8,8,0
27112,1003,210,76,5,5,0
27113,1004,6,442,2,2,5
27114,1004,131,495,1,1,8
27115,1004,9,292,3,3,3
27116,1004,1,58,6,6,0
27117,1004,4,91,4,4,0
27118,1004,10,35,7,7,0
27119,1004,15,27,9,9,0
27120,1004,3,7,10,10,0
27121,1004,5,30,8,8,0
27122,1004,210,80,5,5,0
27123,1005,6,460,2,2,5
27124,1005,131,538,1,1,9
27125,1005,9,319,3,3,3
27126,1005,1,58,6,6,0
27127,1005,4,92,4,4,0
27128,1005,10,43,7,7,0
27129,1005,15,27,9,9,0
27130,1005,3,7,10,10,0
27131,1005,5,30,8,8,0
27132,1005,210,84,5,5,0
27152,1006,210,84,5,5,0
27151,1006,5,32,8,8,0
27150,1006,3,7,10,10,0
27148,1006,10,47,7,7,0
27146,1006,1,58,6,6,0
27144,1006,131,563,1,1,9
27149,1006,15,28,9,9,0
27143,1006,6,497,2,2,6
27145,1006,9,337,3,3,3
27147,1006,4,106,4,4,0
27153,1007,6,530,2,2,6
27154,1007,131,585,1,1,9
27155,1007,9,362,3,3,4
27156,1007,1,62,6,6,0
27157,1007,4,114,4,4,0
27158,1007,10,47,7,7,0
27159,1007,15,36,8,8,0
27160,1007,3,7,10,10,0
27161,1007,5,33,9,9,0
27162,1007,210,84,5,5,0
27163,1008,6,553,2,2,6
27164,1008,131,620,1,1,10
27165,1008,9,392,3,3,4
27166,1008,1,62,6,6,0
27167,1008,4,114,4,4,0
27168,1008,10,48,7,7,0
27169,1008,15,42,8,8,0
27170,1008,3,7,10,10,0
27171,1008,5,33,9,9,0
27172,1008,210,90,5,5,0
27173,1009,6,571,2,2,6
27174,1009,131,655,1,1,11
27175,1009,9,419,3,3,4
27176,1009,1,62,6,6,0
27177,1009,4,122,4,4,0
27178,1009,10,52,7,7,0
27179,1009,15,48,8,8,0
27180,1009,3,7,10,10,0
27181,1009,5,33,9,9,0
27182,1009,210,93,5,5,0
27197,1010,4,6,5,5,0
27196,1010,210,8,4,4,0
27195,1010,6,22,2,2,0
27194,1010,9,15,3,3,0
27193,1010,131,44,1,1,1
27198,1010,51,4,6,6,0
27199,1010,211,2,7,7,0
27200,1010,5,1,8,8,0
27201,1010,1,0,9,9,0
27202,1010,3,0,10,10,0
27223,1012,131,130,1,1,3
27222,1011,3,0,10,10,0
27220,1011,5,3,8,8,0
27215,1011,6,48,2,2,0
27221,1011,1,8,5,5,0
27218,1011,51,10,4,4,0
27214,1011,9,31,3,3,0
27219,1011,211,3,9,9,0
27217,1011,4,6,7,7,0
27216,1011,210,8,6,6,0
27213,1011,131,87,1,1,2
27224,1012,9,52,3,3,0
27225,1012,6,73,2,2,0
27226,1012,210,8,6,6,0
27227,1012,4,12,4,4,0
27228,1012,51,12,5,5,0
27229,1012,211,7,8,8,0
27230,1012,5,4,9,9,0
27231,1012,1,8,7,7,0
27232,1012,3,0,10,10,0
27233,1013,131,173,1,1,4
27234,1013,9,64,3,3,0
27235,1013,6,99,2,2,0
27236,1013,210,8,8,8,0
27237,1013,4,12,7,7,0
27238,1013,51,13,6,6,0
27239,1013,211,17,5,5,0
27240,1013,5,4,9,9,0
27241,1013,1,18,4,4,0
27242,1013,3,0,10,10,0
27243,1014,131,217,1,1,5
27244,1014,9,87,3,3,0
27245,1014,6,121,2,2,0
27246,1014,210,15,6,6,0
27247,1014,4,12,8,8,0
27248,1014,51,13,7,7,0
27249,1014,211,17,5,5,0
27250,1014,5,6,9,9,0
27251,1014,1,22,4,4,0
27252,1014,3,0,10,10,0
27253,1015,131,257,1,1,6
27254,1015,9,110,3,3,0
27255,1015,6,139,2,2,0
27256,1015,210,16,6,6,0
27257,1015,4,14,8,8,0
27258,1015,51,13,9,9,0
27259,1015,211,17,5,5,0
27260,1015,5,16,7,7,0
27261,1015,1,30,4,4,0
27262,1015,3,0,10,10,0
27263,1016,131,295,1,1,7
27264,1016,9,124,3,3,0
27265,1016,6,172,2,2,0
27266,1016,210,16,8,8,0
27267,1016,4,28,5,5,0
27268,1016,51,13,9,9,0
27269,1016,211,19,6,6,0
27270,1016,5,17,7,7,0
27271,1016,1,30,4,4,0
27272,1016,3,0,10,10,0
27302,1017,3,0,10,10,0
27300,1017,5,17,8,8,0
27304,1018,9,169,3,3,1
27303,1018,131,363,1,1,8
27301,1017,1,40,4,4,0
27299,1017,211,19,6,6,0
27297,1017,4,32,5,5,0
27298,1017,51,19,7,7,0
27296,1017,210,16,9,9,0
27295,1017,6,198,2,2,0
27294,1017,9,137,3,3,0
27293,1017,131,338,1,1,8
27305,1018,6,228,2,2,0
27306,1018,210,16,9,9,0
27307,1018,4,32,5,5,0
27308,1018,51,22,6,6,0
27309,1018,211,19,7,7,0
27310,1018,5,17,8,8,0
27311,1018,1,52,4,4,0
27312,1018,3,0,10,10,0
27313,1019,131,407,1,1,9
27314,1019,9,191,3,3,1
27315,1019,6,243,2,2,0
27316,1019,210,16,9,9,0
27317,1019,4,39,5,5,0
27318,1019,51,26,6,6,0
27319,1019,211,19,7,7,0
27320,1019,5,19,8,8,0
27321,1019,1,60,4,4,0
27322,1019,3,0,10,10,0
27341,1020,1,70,4,4,0
27340,1020,5,42,5,5,0
27338,1020,51,26,9,9,0
27336,1020,210,26,8,8,0
27335,1020,6,261,2,2,0
27342,1020,3,1,10,10,0
27334,1020,9,217,3,3,2
27339,1020,211,31,7,7,0
27337,1020,4,39,6,6,0
27333,1020,131,409,1,1,9
27343,1021,131,438,1,1,10
27344,1021,9,244,3,3,2
27345,1021,6,288,2,2,0
27346,1021,210,26,9,9,0
27347,1021,4,39,6,6,0
27348,1021,51,32,7,7,0
27349,1021,211,31,8,8,0
27350,1021,5,43,5,5,0
27351,1021,1,82,4,4,0
27352,1021,3,1,10,10,0
